id;project;tracker;status;priority;author;assigned_to;subject;description;start_date;done_ratio;custom_fields;created_on;updated_on;closed_on
131867;{'id': 333, 'name': 'Тестовый проект'};{'id': 34, 'name': 'Обращение в ТП'};{'id': 11, 'name': 'К исполнению'};{'id': 22, 'name': 'Критично (A)'};{'id': 696, 'name': 'Халилова Алсу'};{'id': 696, 'name': 'Халилова Алсу'};Тест;"33333333

тут краткое описание";2020-06-09;0;[{'id': 151, 'name': 'ТП №', 'internal_name': None, 'value': '3333333'}, {'id': 123, 'name': 'Тип запроса', 'internal_name': None, 'value': ''}, {'id': 111, 'name': 'Сервис Фабр.', 'internal_name': None, 'value': ''}, {'id': 142, 'name': 'Секция НЭП', 'internal_name': None, 'value': ''}, {'id': 125, 'name': 'Сервис НЭП', 'internal_name': None, 'value': ''}, {'id': 148, 'name': 'Способ решения', 'internal_name': None, 'value': 'Не установлен'}, {'id': 143, 'name': 'Jira', 'internal_name': None, 'value': ''}];2020-06-09T18:01:56Z;2020-06-09T18:01:56Z;
131868;{'id': 333, 'name': 'Тестовый проект'};{'id': 34, 'name': 'Обращение в ТП'};{'id': 14, 'name': 'Подтверждена'};{'id': 6, 'name': 'Высокий (B)'};{'id': 696, 'name': 'Халилова Алсу'};{'id': 696, 'name': 'Халилова Алсу'};ТЕСТ_Зак 223: не отправлены протоколы на ЕИС;"A344279 
ИНН 3443012297
ГУП ""Волгофарм""

ЭА2 32009145021
Протокол рассмотрения заявок от 01.06.2020 10:55:08 (MSK+00:00)

ЭА2 32009144982
Протокол рассмотрения заявок от 01.06.2020 11:04:44 (MSK+00:00)

В мониторинге:
Ошибка бизнес логики: Укажите ценовое предложение больше 0

Требуется проверить и отправить протоколы.";2020-06-02;100;[{'id': 151, 'name': 'ТП №', 'internal_name': None, 'value': '333'}, {'id': 123, 'name': 'Тип запроса', 'internal_name': None, 'value': 'Ошибка, просьба пользователя (ошибок ЭТП нет)'}, {'id': 111, 'name': 'Сервис Фабр.', 'internal_name': None}, {'id': 142, 'name': 'Секция НЭП', 'internal_name': None, 'value': 'Закупки 223-ФЗ'}, {'id': 125, 'name': 'Сервис НЭП', 'internal_name': None, 'value': 'Интеграция с ЕИС (процедуры)'}, {'id': 148, 'name': 'Способ решения', 'internal_name': None, 'value': 'Вручную'}, {'id': 143, 'name': 'Jira', 'internal_name': None, 'value': 'https://jira.fabrikant.ru/browse/'}];2020-06-09T18:04:11Z;2020-06-09T18:07:42Z;2020-06-03T16:09:57Z
